-5.625,0,1,0,1,10,110000,100000000,000000100
-11.25,0,0,1,1,10,100000,001000001,001000000
-16.875,0,1,1,1,10,000001,111000000,100010010
-22.5,0,1,1,1,10,000000,000000010,001001010
-28.125,0,1,1,1,10,000001,101000010,101001110
-33.75,0,0,1,1,10,100000,000001000,001010000
-39.375,0,1,0,1,10,100001,100000000,101111111
-45.0,0,0,1,1,10,100000,111000011,010100101
-50.625,0,0,1,1,10,100000,111000100,000111010
-56.25,0,0,1,1,10,100000,000100100,111000101
-61.875,0,0,1,1,10,100000,111100100,110010001
-67.5,0,1,1,0,10,100010,001000110,100000000
-73.125,0,0,1,1,10,100000,111010011,011111110
-78.75,0,0,1,1,10,100000,101101101,011101010
-84.375,0,0,1,1,10,100000,000110110,101110000
-90.0,0,0,1,1,10,100000,110110110,010111100
-95.625,1,0,1,1,00,100000,010111111,110111111
-101.25,0,1,0,1,10,110111,100000000,111100001
-106.875,0,1,0,1,10,101001,100000000,111100110
-112.5,0,1,1,1,10,110111,111001100,111000000
-118.125,0,1,1,0,10,010101,101110100,100000000
-123.75,1,1,1,0,00,010111,100100100,100000000
-129.375,0,1,1,0,10,001000,111101011,100000000
-135.0,0,1,1,1,10,110111,000011100,011011010
-140.625,0,1,1,0,10,001110,111100011,100000000
-146.25,1,1,1,0,00,011111,011101010,100000000
-151.875,0,1,1,1,10,110111,110111101,011100000
-157.5,0,1,1,1,10,110111,110101101,110101110
-163.125,0,1,1,1,10,110111,100110011,101101111
-168.75,0,1,1,1,10,110111,000110111,010111010
-174.375,0,1,1,1,10,001110,100110011,100101100
-180.0,0,1,1,1,10,001110,101110101,100110010
-185.625,1,1,0,1,11,000000,100000000,001000101
-191.25,1,1,1,1,01,000001,000000010,110000000
-196.875,1,0,0,1,11,100000,100000000,010011010
-202.5,1,1,1,1,11,110000,110010000,110000000
-208.125,1,1,0,1,01,110001,100000000,110110000
-213.75,1,1,1,0,11,010000,110001101,100000000
-219.375,1,0,1,1,11,100000,010010001,010001011
-225.0,1,0,1,1,11,100000,001000100,010101111
-230.625,1,0,1,1,11,100000,100000101,000101111
-236.25,1,0,1,1,11,100000,010110010,000001001
-241.875,1,0,1,1,11,100000,101010101,110101001
-247.5,1,0,1,1,11,100000,111010111,011101010
-253.125,1,0,1,1,11,100000,111010111,001110110
-258.75,1,1,0,1,01,100011,100000000,010111111
-264.375,1,1,0,0,01,001010,100000000,100000000
-270.0,1,1,1,1,11,000001,100110111,011111011
-275.625,1,1,1,0,01,110011,001110101,100000000
-281.25,1,1,1,0,01,010101,010011011,100000000
-286.875,1,1,1,1,11,001111,001000000,010001101
-292.5,1,1,1,0,11,101000,010011100,100000000
-298.125,1,1,1,1,11,110111,100010000,001010110
-303.75,1,1,1,0,11,010111,011111100,100000000
-309.375,1,1,1,0,11,101010,010101000,100000000
-315.0,1,1,1,0,11,111010,010111011,100000000
-320.625,1,1,1,1,11,110111,010111101,101000111
-326.25,1,1,1,1,11,110111,110110100,111011001
-331.875,1,1,1,1,11,110111,101110101,110100010
-337.5,1,1,1,1,11,110111,101101101,100110110
-343.125,1,1,1,1,11,001110,110011100,110111100
-348.75,1,1,1,1,11,001110,010110110,100010111
-354.375,1,1,1,1,11,001110,111111101,101101011
-360.0,1,1,1,1,11,001110,001101110,010111100
